SKU,Equipment Category,Part Group,Part Name,Base Price,Sell Price,Tax Code,Active,Competitor Site,Competitor Item,Competitor Price (AUD),Notes
,Blower & Vacuum,Carburettor,Air Filter,18.33,22.0,,Yes,,,,
,Blower & Vacuum,Carburettor,Carburettor Gasket Kit,40.0,48.0,,Yes,,,,
,Blower & Vacuum,Carburettor,Diaphragm,32.5,39.0,,Yes,,,,nan | Baseline autofill
,Blower & Vacuum,Carburettor,End Cap,20.83,25.0,,Yes,,,,nan | Fallback $25
,Blower & Vacuum,Carburettor,Fuel Cap,20.83,25.0,,Yes,,,,
,Blower & Vacuum,Carburettor,Fuel Filter,13.33,16.0,,Yes,,,,
,Blower & Vacuum,Carburettor,Fuel Line,15.83,19.0,,Yes,,,,
,Blower & Vacuum,Carburettor,Grommet,20.83,25.0,,Yes,,,,nan | Fallback $25
,Blower & Vacuum,Carburettor,Jet,20.83,25.0,,Yes,,,,nan | Fallback $25
,Blower & Vacuum,Carburettor,Lifter,20.83,25.0,,Yes,,,,nan | Fallback $25
,Blower & Vacuum,Carburettor,Needle & Seat,20.83,25.0,,Yes,,,,nan | Fallback $25
,Blower & Vacuum,Carburettor,Poppet Valve,20.83,25.0,,Yes,,,,nan | Fallback $25
,Blower & Vacuum,Carburettor,Primer,18.33,22.0,,Yes,,,,
,Blower & Vacuum,Carburettor,Throttle Cable,32.5,39.0,,Yes,,,,
,Blower & Vacuum,Carburettor,Throttle Control,20.83,25.0,,Yes,,,,nan | Fallback $25
,Blower & Vacuum,Carburettor,Vent,13.33,16.0,,Yes,,,,
,Blower & Vacuum,Engine / Sundry Parts,Bearings,20.83,25.0,,Yes,,,,nan | Fallback $25
,Blower & Vacuum,Engine / Sundry Parts,Carburettor Assembly (New),81.67,98.0,,Yes,,,,nan | Fallback $25 | Owner target price applied (validated vs competitor ranges)
,Blower & Vacuum,Engine / Sundry Parts,Cylinder Head,20.83,25.0,,Yes,,,,nan | Fallback $25
,Blower & Vacuum,Engine / Sundry Parts,Decompressor,20.83,25.0,,Yes,,,,nan | Fallback $25
